,epoch,train_mse,train_r2,test_mse,test_r2,grad_norm
0,0,0.035954856045544145,0.6322513818740845,0.010812158885528333,0.8800461888313293,0.0
1,1,0.01312395240738988,0.8644631505012512,0.017442235519411042,0.8063453435897827,0.0
2,2,0.012313910290598869,0.8731881380081177,0.01256210231804289,0.8601751327514648,0.0
3,3,0.012585093952715396,0.8702723383903503,0.009105288045248017,0.8989899158477783,0.0
4,4,0.011510873291641474,0.881000816822052,0.008753218920901418,0.9028356671333313,0.0
5,5,0.011079672660678625,0.8856646418571472,0.009134989042649977,0.8979051113128662,0.0
6,6,0.010376627698540688,0.892896294593811,0.009221410044119693,0.8973677158355713,0.0
7,7,0.009975356075912715,0.8970365524291992,0.008626398994238116,0.9043590426445007,0.0
8,8,0.010134241349995136,0.8952630758285522,0.008423573133768514,0.9059032201766968,0.0
9,9,0.009510479219257831,0.9018535017967224,0.008236859473981895,0.9087358117103577,0.0
10,10,0.009524099420756101,0.9015189409255981,0.008568104691221379,0.9046512842178345,0.0
11,11,0.009249050252139568,0.9044991731643677,0.008630850687040947,0.904097318649292,0.0
12,12,0.009009086932986975,0.9069147706031799,0.00779043830698356,0.913335382938385,0.0
13,13,0.009054059874266386,0.9066033363342285,0.008029114454984665,0.9106119871139526,0.0
14,14,0.008945467963814735,0.9076924920082092,0.009460524030146189,0.895039975643158,0.0
15,15,0.008749142929911613,0.9098068475723267,0.007991816775756888,0.9109645485877991,0.0
16,16,0.008485396463423967,0.9123395085334778,0.007790071453200653,0.9133471250534058,0.0
17,17,0.00837129421904683,0.9135617017745972,0.007424336799886078,0.9175809621810913,0.0
18,18,0.00832668874785304,0.9141775965690613,0.007944800818222575,0.9114333391189575,0.0
19,19,0.008183798722922802,0.9154098033905029,0.007408719000522979,0.9180636405944824,0.0
20,20,0.00807415859028697,0.9165962934494019,0.0073251780559076,0.9183777570724487,0.0
21,21,0.007731563825160265,0.9201105833053589,0.007371512314421125,0.9182364344596863,0.0
22,22,0.007488555729389191,0.9226051568984985,0.006876088416902348,0.9237927198410034,0.0
23,23,0.007127378281205893,0.9264247417449951,0.006811045823269524,0.9244768619537354,0.0
24,24,0.0068516616001725195,0.9293513894081116,0.006795904584578238,0.9243072271347046,0.0
25,25,0.006362451869994402,0.9342911839485168,0.006180191790917888,0.9313731789588928,0.0
26,26,0.006434059873223305,0.9336007237434387,0.006140071091067512,0.9319144487380981,0.0
27,27,0.0062128700278699395,0.9359512329101562,0.006392744297045283,0.9294447302818298,0.0
28,28,0.0059599758796393875,0.9386535882949829,0.005935104316449724,0.9339854121208191,0.0
29,29,0.005818899417296052,0.939899742603302,0.005645725948852487,0.9374589920043945,0.0
30,30,0.005609779492020607,0.9421327114105225,0.005348335223970935,0.940584659576416,0.0
31,31,0.005252325739711523,0.9458657503128052,0.005593398527707905,0.9381961822509766,0.0
32,32,0.005383302308619022,0.9444682002067566,0.00658105403999798,0.9271525144577026,0.0
33,33,0.005490515058860183,0.9433151483535767,0.005783661952591501,0.9360376596450806,0.0
34,34,0.005268155319616198,0.9456171989440918,0.005376568515202962,0.940403938293457,0.0
35,35,0.005132322827354073,0.9470438957214355,0.0053876125093665905,0.9404370784759521,0.0
36,36,0.005117964785546064,0.9472920894622803,0.005101844864839222,0.9432748556137085,0.0
37,37,0.005035994559526444,0.9480516314506531,0.005478837767441291,0.9391084909439087,0.0
38,38,0.004939701769500971,0.9491715431213379,0.0050785042039933614,0.9436808228492737,0.0
39,39,0.004699951108545065,0.9515835642814636,0.004789694816281553,0.9471367001533508,0.0
40,40,0.004656986864283681,0.951930582523346,0.004985126412066165,0.9446870684623718,0.0
41,41,0.004628390118479729,0.9522826075553894,0.004897464154055342,0.9456983804702759,0.0
42,42,0.004506809445098042,0.9536105394363403,0.00505457486724481,0.943848729133606,0.0
43,43,0.004293509483337402,0.9557714462280273,0.004761352058267221,0.9473444819450378,0.0
44,44,0.00428112231194973,0.9558112025260925,0.005322415738191921,0.9410662055015564,0.0
45,45,0.004292264746502042,0.9557942152023315,0.0057447350191068836,0.9360522627830505,0.0
46,46,0.004431201247498393,0.954346776008606,0.004770948871737346,0.947124719619751,0.0
47,47,0.004169223353266716,0.9570550322532654,0.0049011433438863605,0.9454776644706726,0.0
48,48,0.004243618085980416,0.9561727643013,0.0047388652310473844,0.9475841522216797,0.0
49,49,0.004012566145509482,0.9585707783699036,0.004972712507878896,0.9448840618133545,0.0
50,50,0.004142546171322465,0.9572813510894775,0.005101791764900554,0.9427220821380615,0.0
51,51,0.0042021228540688755,0.9567070603370667,0.004617580860212911,0.948666512966156,0.0
52,52,0.003931405426934362,0.9595134258270264,0.0047327217980637215,0.9471576809883118,0.0
53,53,0.004044088121503591,0.9583274722099304,0.005047013932198752,0.9436925053596497,0.0
54,54,0.0041826408784836535,0.9569082260131836,0.004764427590998821,0.9470263719558716,0.0
55,55,0.0037699437085539104,0.9611297249794006,0.004681697078922298,0.9480140805244446,0.0
56,56,0.004028784459456801,0.9584781527519226,0.004758203103847336,0.9468954205513,0.0
57,57,0.003712331933900714,0.9617013335227966,0.004719681724964175,0.9472530484199524,0.0
58,58,0.003773663179948926,0.9610994458198547,0.004455363174201921,0.9506615400314331,0.0
59,59,0.0036477749329060314,0.9623874425888062,0.004904762739897706,0.9456149935722351,0.0
60,60,0.003628284165635705,0.9627515077590942,0.004714905007858761,0.9477936625480652,0.0
61,61,0.0036828741319477557,0.9620909094810486,0.004402497783303261,0.9511041641235352,0.0
62,62,0.0033609118331223726,0.9654142260551453,0.004421488323714584,0.9510312676429749,0.0
63,63,0.0032150343470275402,0.9669127464294434,0.004228788646287285,0.9525916576385498,0.0
64,64,0.0033502628058195115,0.9655311107635498,0.004554993298370391,0.9495241045951843,0.0
65,65,0.003368341591209173,0.9652898907661438,0.004414844457642175,0.9512124061584473,0.0
