,epoch,train_mse,train_r2,test_mse,test_r2
0,0,0.1086434990465641,-0.041022419929504395,0.030829445051494986,0.694288969039917
1,1,0.022461451515555383,0.8068740367889404,0.01955594850005582,0.8010640740394592
2,2,0.021273536659777166,0.8029931783676147,0.03460924286628142,0.6289159655570984
3,3,0.019514274671673774,0.8144057393074036,0.019170096958987415,0.7948214411735535
4,4,0.017400516659021377,0.8304791450500488,0.023195002344436944,0.7480452060699463
5,5,0.01857809518277645,0.8145081400871277,0.039647008874453604,0.5631448030471802
6,6,0.018645704731345178,0.811637282371521,0.028537370322737843,0.6839667558670044
7,7,0.015481019258499146,0.8426112532615662,0.012233171873958781,0.8648838400840759
8,8,0.015628875881433486,0.8400415778160095,0.009983728174120188,0.8903056979179382
9,9,0.01367604425176978,0.860173225402832,0.01732094245380722,0.8069204092025757
10,10,0.009793745327740907,0.8995091319084167,0.010430944559630007,0.8841270804405212
11,11,0.008455061826854944,0.9131165146827698,0.006498693939647637,0.9275932312011719
12,12,0.007223490387201309,0.9258524179458618,0.004215766712150071,0.9536938667297363
13,13,0.006263981664553285,0.9356275796890259,0.0057146033650496975,0.9367532134056091
14,14,0.006216099666431546,0.9362536668777466,0.00373971135559259,0.9587783813476562
15,15,0.0067709930390119554,0.9304186105728149,0.009560780541505665,0.8937287330627441
16,16,0.005607933003455401,0.9423690438270569,0.007435653809807263,0.9175240993499756
17,17,0.0044727809131145475,0.9541115760803223,0.002776768531475682,0.9695292711257935
18,18,0.005964852331206203,0.9386057257652283,0.007639845964149572,0.915064811706543
19,19,0.006278959759511054,0.9354448914527893,0.0030185073846951127,0.9666106104850769
20,20,0.004990116908214986,0.9487979412078857,0.002471461208187975,0.9727208018302917
21,21,0.006354755240492523,0.9347599744796753,0.008586780531913973,0.9043906331062317
22,22,0.004719885004684329,0.9514777660369873,0.003163353343552444,0.9650437831878662
23,23,0.003605080058798194,0.9630977511405945,0.004700821358710527,0.9480129480361938
24,24,0.00339345214702189,0.96518474817276,0.005319913470884785,0.9409431219100952
25,25,0.003744784569367766,0.9616000652313232,0.003810039306699764,0.9576166868209839
26,26,0.0030623264452442527,0.9686427116394043,0.0038689589709974825,0.9569147825241089
27,27,0.0030240793405100705,0.9690651893615723,0.002025127298111329,0.9776880741119385
28,28,0.002719474812038243,0.9721595644950867,0.0028709860489470884,0.9682806730270386
29,29,0.003573928218334913,0.9633815884590149,0.0021267612391966395,0.9764478206634521
30,30,0.0029305600859224797,0.9699808359146118,0.004007183299108874,0.9555175304412842
31,31,0.0030086455810815096,0.9691631197929382,0.004101373779121786,0.954498827457428
32,32,0.002519934236537665,0.9742839336395264,0.0028761494177160785,0.9683857560157776
33,33,0.0025027119712904096,0.9744818210601807,0.0034488133678678423,0.9615640640258789
34,34,0.0028370064911432563,0.9710588455200195,0.0016354333856725134,0.9820262789726257
35,35,0.002830518698319793,0.9712281823158264,0.0014840310905128717,0.9837170243263245
36,36,0.0028078924701549113,0.9715220928192139,0.0019187240868632216,0.9789023399353027
37,37,0.002352410264778882,0.9761707186698914,0.0022856711111671757,0.9748795032501221
38,38,0.0023691781698726116,0.9758220314979553,0.0033932975311472546,0.9622375965118408
39,39,0.0019873385042883454,0.9797797799110413,0.001947572050994495,0.9787323474884033
40,40,0.0021383452294394373,0.9782487750053406,0.006194223045895342,0.9304702281951904
41,41,0.0022559341727755966,0.9770470857620239,0.002870699972845614,0.9681298732757568
42,42,0.0021449462780728937,0.9783861637115479,0.0028451602047425695,0.9684158563613892
43,43,0.0021214370583184064,0.9784939885139465,0.002989469561725855,0.9681026935577393
44,44,0.0020808397717773913,0.9788945317268372,0.0015449828533746768,0.9829014539718628
45,45,0.0018499548151157796,0.9812303781509399,0.004074741656950209,0.9545801877975464
46,46,0.0016545474366284907,0.9831956028938293,0.001231241729328758,0.9864766001701355
47,47,0.0015649142102338374,0.9842144846916199,0.002949722060293425,0.9678477048873901
48,48,0.002464477508328855,0.9749252200126648,0.0020723401103168726,0.9769966006278992
49,49,0.0017568247020244598,0.9820271134376526,0.0018262762860103976,0.9799126386642456
50,50,0.0016151936878450214,0.9835794568061829,0.0012556959645735333,0.9862292408943176
51,51,0.0015190022876486182,0.984562337398529,0.0012708575923170429,0.9861447215080261
52,52,0.0016435913871973753,0.9833040833473206,0.0024510861258022487,0.9729905128479004
53,53,0.001903614979237318,0.9808146953582764,0.0014163738705974538,0.984640896320343
54,54,0.0016355324098840357,0.9834288954734802,0.001233253329701256,0.9865404963493347
55,55,0.0015959541839547454,0.9839605689048767,0.0023948004745761864,0.9740451574325562
56,56,0.0016220473134890198,0.9838985204696655,0.0016828690822876524,0.9823046326637268
57,57,0.0014238336877897381,0.9857211709022522,0.0018788827037496958,0.9796009659767151
58,58,0.0012656502206809818,0.9871355891227722,0.001623842072149273,0.9819891452789307
59,59,0.0013995129372924566,0.9857659339904785,0.0017001847772917245,0.9813722372055054
60,60,0.0012860954725183546,0.9869446754455566,0.0015691127027821494,0.9828200340270996
61,61,0.0011789468629285693,0.9880414009094238,0.0016465858498122543,0.982075572013855
62,62,0.0015953064570203423,0.9837673306465149,0.0017634560317674186,0.9805314540863037
63,63,0.001463010426145047,0.9850415587425232,0.0013352866208151681,0.9855577349662781
64,64,0.0011317663681693374,0.9884859919548035,0.0009291945843870053,0.9898245334625244
65,65,0.0010410207801032812,0.9894444942474365,0.0015372295383713208,0.9832194447517395
66,66,0.0010688944687135518,0.9891492128372192,0.0023828024641261436,0.9734020233154297
67,67,0.001261918133124709,0.987177848815918,0.0011541411258804146,0.9875516891479492
68,68,0.0010469445195049048,0.9893726110458374,0.0010063793197332416,0.988891065120697
69,69,0.0012663676000665874,0.9871825575828552,0.0012563868640427245,0.9861834645271301
70,70,0.0011503613498061896,0.9883055686950684,0.0010694128304749029,0.988409698009491
71,71,0.0008613894279114902,0.9912805557250977,0.0007548638222942827,0.991844117641449
72,72,0.0007751604383811354,0.9921602010726929,0.0007692278868489666,0.9915807247161865
73,73,0.000806451058248058,0.991837203502655,0.0007203859076980734,0.9921123385429382
74,74,0.0008236045865342021,0.9916403889656067,0.0007691578721278347,0.9915758371353149
75,75,0.0007548527545295655,0.9923682808876038,0.0005989114461044664,0.9934651255607605
76,76,0.0006399879960808903,0.9935392737388611,0.0006233538615560974,0.993148922920227
77,77,0.0006319092893972993,0.9936119914054871,0.0005697517017324571,0.993829607963562
78,78,0.0005764664895832539,0.9941838383674622,0.0007351693238888402,0.9919650554656982
79,79,0.0006234553752001375,0.9937070608139038,0.0006649620072494145,0.992698609828949
80,80,0.0006301330660935491,0.9936257600784302,0.0005863898295501713,0.993601381778717
81,81,0.0005128792561590672,0.9948323965072632,0.0005408794049799326,0.9941111207008362
82,82,0.00043338807579129933,0.9956540465354919,0.000498650637382525,0.9945846199989319
83,83,0.00038403804588597266,0.9961662888526917,0.0004969222700310638,0.9946098327636719
84,84,0.0004520717830164358,0.9954590797424316,0.00064263175954693,0.9930026531219482
85,85,0.00038218679605051876,0.9961757063865662,0.0004659700789488852,0.9949545860290527
86,86,0.00039650890696793793,0.9960242509841919,0.000433402646194736,0.9953064918518066
87,87,0.0003717273233924061,0.9962878823280334,0.0004207901602057973,0.9954429268836975
88,88,0.00031965241336729376,0.9968151450157166,0.0003870548098348081,0.9957981705665588
89,89,0.0002996039369609207,0.9970295429229736,0.00041589575630496256,0.9954943656921387
90,90,0.0002736884729238227,0.9972944259643555,0.00040334005188924493,0.9956095218658447
