,epoch,train_mse,train_r2,test_mse,test_r2
0,0,0.045409156903624535,0.5325167179107666,0.011233530356548727,0.8752054572105408
1,1,0.015904933784157037,0.8354682326316833,0.0147599128249567,0.8359460830688477
2,2,0.013963039465248584,0.855611264705658,0.013990025996463373,0.8442878723144531
3,3,0.012489662431180477,0.8709220886230469,0.009875264833681285,0.8902047872543335
4,4,0.011672554854303598,0.8792802095413208,0.008582856520661153,0.9041593074798584
5,5,0.00824431324005127,0.9147077798843384,0.004983228660421446,0.9442658424377441
6,6,0.007709401827305555,0.9203924536705017,0.006772906810510904,0.9242793917655945
7,7,0.006463970590382814,0.9333004951477051,0.004029128635011148,0.9553278684616089
8,8,0.005709625108167529,0.9410544037818909,0.005138009189977311,0.9426826238632202
9,9,0.005268337082117796,0.9457862377166748,0.004864827118581161,0.9456188678741455
10,10,0.004438651897013188,0.9541730284690857,0.006712752336170524,0.925679624080658
11,11,0.00464497708901763,0.9519926905632019,0.004535425883659627,0.9496856927871704
12,12,0.0038315356075763704,0.9604504108428955,0.0025880749308271334,0.9713298082351685
13,13,0.003782612109556794,0.9609034061431885,0.00272512072842801,0.9697667956352234
14,14,0.0033327036909759043,0.9656620025634766,0.0028690512699540704,0.9682843685150146
15,15,0.00333676527813077,0.9656004905700684,0.005587900028331205,0.9379613399505615
16,16,0.003411361424252391,0.964775025844574,0.009282936123781838,0.8967475295066833
17,17,0.003542819073423743,0.9634160399436951,0.0021677572731277905,0.9761413931846619
18,18,0.0025202653454616665,0.9740209579467773,0.0020451815871638246,0.9774771332740784
19,19,0.0025099895410239698,0.9741693139076233,0.0024529245965823065,0.9727446436882019
20,20,0.002216307041235268,0.9772188663482666,0.0019430291904427577,0.9784232974052429
21,21,0.0022630830369889735,0.9767588973045349,0.002086464941385202,0.9769265651702881
22,22,0.0020943384896963835,0.9784247875213623,0.0024243476982519496,0.9729411005973816
23,23,0.002189643632620573,0.977495551109314,0.0031577698027831502,0.964867353439331
24,24,0.0022505846507847307,0.9768022298812866,0.002655274518474471,0.9702712893486023
25,25,0.00198070786613971,0.9796223044395447,0.0019785216136369854,0.9780572652816772
26,26,0.001705643456429243,0.9824740290641785,0.0020126290000916924,0.9776641726493835
27,27,0.0016713954526931048,0.9828299283981323,0.001307722934143385,0.9855274558067322
28,28,0.0016868101116269828,0.9826534986495972,0.0013087673178233672,0.9856892228126526
29,29,0.0015440703313797713,0.9841408133506775,0.001693181195150828,0.9812493920326233
30,30,0.0016085583847016097,0.9834460616111755,0.0014936207408027258,0.9834582209587097
31,31,0.0015162420943379401,0.9843979477882385,0.0013302358893270139,0.9852148294448853
32,32,0.0013629073766060174,0.9860028028488159,0.0014047440417925827,0.9845014810562134
33,33,0.0014064705152995885,0.985547661781311,0.0013179805428080726,0.9853124618530273
34,34,0.0014158607413992286,0.9854373335838318,0.0015486939155380242,0.9827467203140259
35,35,0.001300339987501502,0.9866423010826111,0.0010971803476422792,0.9878386855125427
36,36,0.0012493808297440409,0.9871641993522644,0.0012672226548602339,0.9859449863433838
37,37,0.0010481046293862163,0.9892616271972656,0.001082114344171714,0.9880821704864502
38,38,0.0010300418143160642,0.9894309043884277,0.0013346454252314288,0.985155463218689
39,39,0.001093705255538225,0.9887685775756836,0.0011347680756443879,0.9874779582023621
40,40,0.001181702116969973,0.9878430366516113,0.000888578528247308,0.9901732802391052
41,41,0.0009422083194367588,0.9903281927108765,0.0008597688065492548,0.9905195236206055
42,42,0.0008781774025410414,0.9909881949424744,0.0009907166113407584,0.989021897315979
43,43,0.0009135936028324068,0.990639865398407,0.0008262982628366444,0.9908285140991211
44,44,0.0009141437862999738,0.9906222224235535,0.0008668752598168794,0.9904661774635315
45,45,0.0008835242739878595,0.9909536838531494,0.0008176117153197993,0.9909899830818176
46,46,0.0008808911442756653,0.9909504652023315,0.0008078298324107891,0.9910951852798462
47,47,0.000821091050747782,0.9915944933891296,0.0012297573921387084,0.9863809943199158
48,48,0.0007143420169595628,0.9926913380622864,0.0012455380783649161,0.9861811399459839
49,49,0.0007858679508790374,0.9919404983520508,0.0008026536143006524,0.9911524057388306
50,50,0.0006564517961814999,0.9932829737663269,0.0010872206257772632,0.9879523515701294
51,51,0.0007095100320875645,0.9927321672439575,0.000854965170219657,0.9905090928077698
52,52,0.0006559285607654602,0.9932920336723328,0.0007063396897137864,0.9921823143959045
53,53,0.0006727246006485075,0.9931187629699707,0.000638239262116258,0.9929465055465698
54,54,0.0007108395912218838,0.9927236437797546,0.000633558443041693,0.9930233955383301
55,55,0.000595330007141456,0.9939280152320862,0.0007367257931036875,0.9918287992477417
56,56,0.0006681463022250682,0.9931693077087402,0.0007581173722428503,0.9916694760322571
57,57,0.000524275052594021,0.9946553707122803,0.0005962220711808186,0.993420422077179
58,58,0.0005723774931393564,0.994145393371582,0.0006495328598248307,0.9928794503211975
59,59,0.0005258212063927203,0.9946349859237671,0.0006301815919869114,0.9930513501167297
60,60,0.000569908011239022,0.994167685508728,0.0006768402163288556,0.9924807548522949
61,61,0.0005078934240154922,0.9948267340660095,0.0007127631579351146,0.992165207862854
62,62,0.00045730291586369275,0.9953451156616211,0.0005544826808545622,0.9938754439353943
63,63,0.0004962143581360578,0.9949319362640381,0.0005055500359958387,0.994442343711853
64,64,0.00048318579723127185,0.9950702786445618,0.0006098919793657842,0.9932984709739685
65,65,0.00043747421237640084,0.9955505728721619,0.0004761299878737191,0.9947625398635864
66,66,0.0004873771599959582,0.9950340390205383,0.0005853869688507984,0.993514358997345
67,67,0.0004664168313611299,0.9952563643455505,0.0004784555512742372,0.9947567582130432
68,68,0.0004176092306151986,0.9957525730133057,0.0005456916733237449,0.9939906001091003
69,69,0.00038694709329865874,0.9960721135139465,0.000457047630334273,0.9949797987937927
70,70,0.00036149847018532457,0.9963421821594238,0.0004286127505110926,0.9952836036682129
71,71,0.00035557373473420737,0.996397078037262,0.00047976471796573605,0.994731068611145
72,72,0.0003504637228325009,0.996447741985321,0.0005210879562582704,0.9942493438720703
73,73,0.0003215683037415147,0.996748149394989,0.00046231320175138535,0.9949271082878113
74,74,0.0003077450004639104,0.9968906044960022,0.00043851149439433357,0.9951873421669006
75,75,0.0003055523231159896,0.9969180226325989,0.0004549423756543547,0.9949980974197388
76,76,0.0002957658978411928,0.997017502784729,0.0004161234492130461,0.9954378604888916
77,77,0.00028094001929275693,0.9971650838851929,0.0004113717586733401,0.9954914450645447
78,78,0.00027702962211333213,0.9972077012062073,0.00041362423417012906,0.9954542517662048
79,79,0.0002611985602416098,0.9973732233047485,0.000388762547117949,0.9957571029663086
80,80,0.00026473553280811755,0.9973381757736206,0.00040125680607161485,0.9956345558166504
81,81,0.00024275470233988016,0.9975614547729492,0.000383399955353525,0.9958007335662842
82,82,0.00023564121720846742,0.9976373910903931,0.0003509111511448282,0.9961817860603333
83,83,0.00022763644182123243,0.9977225661277771,0.00035721307358471677,0.9960982799530029
84,84,0.00022452113137114794,0.9977543354034424,0.00035853246481565293,0.9960869550704956
85,85,0.00022165138996206224,0.9977824687957764,0.000360265086783329,0.9960668683052063
86,86,0.00022056978673208505,0.9977945685386658,0.0003486968316792627,0.9961771965026855
87,87,0.00020611401239875704,0.9979487657546997,0.00033767348668334307,0.996327817440033
88,88,0.0002015354041941464,0.9979890584945679,0.0003248128923587501,0.9964668154716492
89,89,0.00019791405613068491,0.9980316758155823,0.0003311586324343807,0.9964023232460022
90,90,0.00019116908113937824,0.9981005787849426,0.0003303190160295344,0.996398389339447
91,91,0.00019014278671238572,0.9981133341789246,0.00033203776456502965,0.9963865280151367
92,92,0.0001861008080886677,0.998150110244751,0.00033424902949263924,0.996343195438385
93,93,0.00018282817828003318,0.998192310333252,0.0003229085632483475,0.9964672923088074
94,94,0.00018002089753281326,0.9982138872146606,0.000317678455303394,0.9965351223945618
95,95,0.00017968069552443922,0.9982162117958069,0.00032575065506534884,0.9964609742164612
96,96,0.00017806777404621242,0.998238205909729,0.0003206218848390563,0.9965029954910278
97,97,0.00017576115974225103,0.9982631802558899,0.0003207517629562062,0.9965069890022278
98,98,0.00017531171999871732,0.9982614517211914,0.0003200471483069123,0.9965178370475769
99,99,0.00017615198087878525,0.9982520341873169,0.0003185539731020981,0.9965313673019409
