,epoch,train_mse,train_r2,test_mse,test_r2,grad_norm
0,0,0.06363132414221763,0.34388893842697144,0.022066369594540447,0.755514919757843,inf
1,1,0.02543102452903986,0.7372462153434753,0.021111324371304363,0.7654387354850769,3.5852266716957093
2,2,0.023048154763877393,0.7617194652557373,0.01758279328350909,0.8042587041854858,inf
3,3,0.011879178665578366,0.8772188425064087,0.007720692126895301,0.9143787026405334,1.7157490046024322
4,4,0.009734080091118813,0.8992982506752014,0.006173312227474526,0.931110143661499,1.5557867202758788
5,5,0.00844198015332222,0.9129016995429993,0.005520366714335978,0.9383724331855774,1.359512130022049
6,6,0.006507251234725117,0.9327150583267212,0.00472007996722823,0.9471686482429504,1.0991099300384521
7,7,0.00582044729962945,0.9399052858352661,0.004306826624087989,0.9518216848373413,1.0417709640264512
8,8,0.004333889175206423,0.9552782773971558,0.0031573820888297632,0.9649784564971924,0.7807854998111725
9,9,0.0034586548516526818,0.9644061326980591,0.0034303698848816566,0.9620195031166077,0.5815142301917076
10,10,0.0030612181816250085,0.9684603214263916,0.0022418651642510667,0.9751739501953125,0.5806052348613739
11,11,0.003874665694311261,0.9599711298942566,0.0025227252299373504,0.9720332026481628,0.6872838056981564
12,12,0.0023532393900677563,0.9757757782936096,0.0017543393259984441,0.9804602265357971,0.4482971724271774
13,13,0.00219464610517025,0.977421224117279,0.0018417742721794639,0.9794884324073792,0.4613851007223129
14,14,0.001810409802943468,0.9813752174377441,0.0016184448504645843,0.98212730884552,0.3397642436027527
15,15,0.0016641357112675906,0.9829089641571045,0.002011758064327296,0.9775903820991516,0.38861662238836286
16,16,0.0015068439235910774,0.984534740447998,0.0015633179245924111,0.9826688766479492,0.3408234072327614
17,17,0.0015669490108266473,0.9838630557060242,0.0018390324439678807,0.9794716238975525,0.40043621546030045
18,18,0.001391075997147709,0.985683798789978,0.0011308687226119218,0.9873887896537781,0.3279403302371502
19,19,0.0013422251045703889,0.9862269163131714,0.0014100091502768919,0.9844323992729187,0.3281910185813904
