,epoch,train_mse,train_r2,test_mse,test_r2,grad_norm
0,0,0.027242777317762375,0.7221604585647583,0.012724882137263194,0.8585019111633301,0.0
1,1,0.0151790806427598,0.8434140086174011,0.02414152235724032,0.7318912744522095,0.0
2,2,0.014122414652258157,0.8543180227279663,0.012209588137920946,0.8642663359642029,0.0
3,3,0.012260563906282187,0.8734011054039001,0.011554901691852137,0.8716694712638855,0.0
4,4,0.011748451698571444,0.8786073327064514,0.008635728125227615,0.9036064147949219,0.0
5,5,0.010694278098642826,0.8897687196731567,0.00877628693706356,0.9025212526321411,0.0
6,6,0.009903024092316628,0.8976601362228394,0.008462389290798455,0.9058432579040527,0.0
7,7,0.009821816235780717,0.8986250162124634,0.008230237726820633,0.908720076084137,0.0
8,8,0.009915901355445384,0.8976086378097534,0.00823671612306498,0.9085992574691772,0.0
9,9,0.009303113654255867,0.9041178822517395,0.008734748698771,0.9032469987869263,0.0
10,10,0.00952092844247818,0.9017317891120911,0.008327034942340106,0.9077994227409363,0.0
11,11,0.00931027277559042,0.9037736654281616,0.00856075101182796,0.9043927192687988,0.0
12,12,0.00890513963624835,0.9080780744552612,0.007311440276680514,0.9188183546066284,0.0
13,13,0.008984134428203106,0.9072679281234741,0.007807057452737354,0.9132310152053833,0.0
14,14,0.008801392935216427,0.9090834259986877,0.008228031918406487,0.9090548753738403,0.0
15,15,0.008491363819688558,0.9124464988708496,0.008019659362616949,0.9107228517532349,0.0
16,16,0.008336281586438418,0.9140663743019104,0.006735506030963734,0.9253584146499634,0.0
17,17,0.007994571693241597,0.9173241853713989,0.006977248573093675,0.9222784042358398,0.0
18,18,0.00809963059797883,0.9162982702255249,0.007543194878962822,0.9162915945053101,0.0
19,19,0.008679100945591926,0.9105557799339294,0.00765521707944572,0.9146724343299866,0.0
20,20,0.008093830976635217,0.9166073799133301,0.0070033420488471165,0.9225905537605286,0.0
21,21,0.007827961809933186,0.9192086458206177,0.007344898593146354,0.9188255071640015,0.0
22,22,0.0075981106497347356,0.9216281771659851,0.007320150398300029,0.9191745519638062,0.0
23,23,0.007969550766050815,0.9176731109619141,0.006847129494417459,0.9237746596336365,0.0
24,24,0.00819241612404585,0.9154595732688904,0.007055135734844953,0.9218616485595703,0.0
25,25,0.007898202411830426,0.918556809425354,0.0071360361616825685,0.9206434488296509,0.0
26,26,0.008169778604060412,0.9157185554504395,0.007050722852000035,0.921730637550354,0.0
27,27,0.00835714915022254,0.9138744473457336,0.0078079513914417475,0.9137811660766602,0.0
28,28,0.008616200517863035,0.9111621975898743,0.007571055073640309,0.9158458113670349,0.0
29,29,0.008796769052743911,0.9092329740524292,0.00852157804183662,0.9053959846496582,0.0
30,30,0.008409705054014921,0.9132821559906006,0.007724040231551044,0.9143602848052979,0.0
31,31,0.008510480038821697,0.9122835993766785,0.00769322230189573,0.9147835969924927,0.0
32,32,0.008669236719608307,0.9106122851371765,0.008433428229182027,0.9066687822341919,0.0
33,33,0.009479922495782375,0.9020922183990479,0.00807522154354956,0.909540593624115,0.0
34,34,0.00890912603214383,0.9080883264541626,0.007641284886631183,0.9151155352592468,0.0
35,35,0.00877914721518755,0.9094421863555908,0.008599283566582017,0.9044033288955688,0.0
36,36,0.009250434465706349,0.9045038819313049,0.007922166681964882,0.9120371341705322,0.0
37,37,0.009138860568404197,0.90593022108078,0.008063742614467628,0.9110027551651001,0.0
38,38,0.008869915273040534,0.9084076881408691,0.007571537556941621,0.9162498116493225,0.0
39,39,0.00854660938680172,0.9117569923400879,0.007740256347460672,0.913884699344635,0.0
40,40,0.009056078463792801,0.9063928723335266,0.007948950529680587,0.9117125868797302,0.0
41,41,0.008714397337287665,0.9099233150482178,0.008024558919714764,0.9100944995880127,0.0
42,42,0.009353448070585729,0.903484582901001,0.009205726179061458,0.8980395197868347,0.0
43,43,0.00969128879904747,0.9001824259757996,0.008215476947952993,0.9087386131286621,0.0
44,44,0.009033325534313918,0.9066956043243408,0.008037789928494021,0.9110570549964905,0.0
45,45,0.008974017322063446,0.9074106216430664,0.008453079732134938,0.9060282707214355,0.0
46,46,0.008825974930077791,0.9088524580001831,0.00812788843177259,0.9097020626068115,0.0
47,47,0.008649994790554047,0.910710334777832,0.0078609463525936,0.9129517078399658,0.0
48,48,0.00915511617064476,0.9055098295211792,0.007782532411511056,0.9134145975112915,0.0
49,49,0.008468411561101676,0.9125217795372009,0.007732773156021722,0.9138866662979126,0.0
50,50,0.00862327104434371,0.9108889102935791,0.007952590356580913,0.9115675687789917,0.0
51,51,0.0086680687405169,0.9105661511421204,0.007574241841211915,0.9159961938858032,0.0
52,52,0.008331320215016603,0.9138891100883484,0.007533065087045543,0.9163926243782043,0.0
53,53,0.008668175619095563,0.9105079770088196,0.008905417256755754,0.9012946486473083,0.0
