,epoch,train_mse,train_r2,test_mse,test_r2
0,0,0.0271884625852108,0.7225812673568726,0.015178773406660184,0.8309245705604553
1,1,0.016604462932795286,0.8282954692840576,0.010813046887051314,0.8792710304260254
2,2,0.012679428450763225,0.8689539432525635,0.010654059165972285,0.8814446330070496
3,3,0.012334311541169882,0.8726174831390381,0.009542458210489713,0.8932622671127319
4,4,0.011109640393406152,0.8852200508117676,0.00959986139787361,0.8933438658714294
5,5,0.010714769341051578,0.8892191648483276,0.009547510431730188,0.8936529159545898
6,6,0.010327292762696743,0.893412172794342,0.008506249025231227,0.9056988954544067
7,7,0.009662802007049323,0.9003257751464844,0.00883318691921886,0.9020146131515503
8,8,0.009962583418935538,0.8971673250198364,0.00807961584359873,0.9100462794303894
9,9,0.009404213566333055,0.9032483100891113,0.009012379116029479,0.9004013538360596
10,10,0.009239894699305296,0.9045950770378113,0.008318279651575722,0.9075255393981934
11,11,0.009243158925324678,0.9044919610023499,0.009571434027748182,0.8937665820121765
12,12,0.008888183560222387,0.9082438349723816,0.008011236481252126,0.91048264503479
13,13,0.008553192406892776,0.9115978479385376,0.0075327071390347555,0.9160646200180054
14,14,0.008717906672507525,0.9101157784461975,0.0073160941392416134,0.9193639159202576
15,15,0.008490852680057287,0.9123953580856323,0.0076481056021293625,0.9150852560997009
16,16,0.008108922950923443,0.9162667393684387,0.0070995959104038775,0.9216369390487671
17,17,0.008152654077857733,0.9157683253288269,0.007047590159345418,0.9217147827148438
18,18,0.00781704193726182,0.9192052483558655,0.007298626936972141,0.9189996123313904
19,19,0.00814766475185752,0.9159039258956909,0.007171608987846412,0.920504093170166
20,20,0.008109397850930691,0.9163792133331299,0.007492527642170899,0.9170068502426147
21,21,0.007725206460803747,0.9204230904579163,0.0075469339499250054,0.9161794185638428
22,22,0.0077909260764718056,0.9194795489311218,0.007252908282680437,0.9193128943443298
23,23,0.0077311484888196,0.9203247427940369,0.006797906185965985,0.9242672920227051
24,24,0.007795144189149141,0.9194541573524475,0.007016875242698006,0.9219412803649902
25,25,0.007554779678583145,0.9220188856124878,0.006995235176873393,0.9224493503570557
26,26,0.007557588890194893,0.9219902157783508,0.007225274559459649,0.9197379946708679
27,27,0.007844934746623039,0.9190875887870789,0.007437556894728914,0.9171767234802246
28,28,0.008024113405495883,0.9171716570854187,0.006871117133414373,0.9235657453536987
29,29,0.007992172703146935,0.9175516366958618,0.0074739953997777775,0.9169462323188782
30,30,0.007850365847349166,0.9189248085021973,0.0072705915226833895,0.9191696047782898
31,31,0.007697214875370264,0.9204821586608887,0.007016224175458774,0.9218325614929199
32,32,0.007971338655799628,0.9177473187446594,0.008007447875570506,0.9115418195724487
33,33,0.008058927290141583,0.9168206453323364,0.007713331113336608,0.9144825339317322
34,34,0.008276562392711639,0.9145059585571289,0.007629144412931055,0.9151992797851562
35,35,0.008180883768945933,0.9155760407447815,0.00743312927079387,0.9174215197563171
36,36,0.00821612511575222,0.9152140617370605,0.007562906073872,0.9165659546852112
37,37,0.00812769789621234,0.9162064790725708,0.007074064662447199,0.921680212020874
38,38,0.008173490647226571,0.9156345725059509,0.007187798371887766,0.920252799987793
39,39,0.007941219743341207,0.9180079102516174,0.007130274520022795,0.9212819337844849
40,40,0.007918253991752862,0.9181352853775024,0.006996207011980005,0.922501802444458
41,41,0.008296738661825656,0.9142632484436035,0.007318174190004356,0.9190431833267212
42,42,0.008015332877635955,0.9171628952026367,0.007386073746602051,0.9187231063842773
43,43,0.007874509651213885,0.9188449382781982,0.007238209524075501,0.9202595353126526
44,44,0.008054341197013854,0.9168737530708313,0.006997564705670811,0.9221010208129883
45,45,0.007778084583580494,0.9198253750801086,0.00753943451854866,0.916304349899292
46,46,0.00794538290426135,0.917880654335022,0.007165506278397515,0.9202430844306946
47,47,0.007695259839296341,0.9207199215888977,0.007336032038438134,0.9187158346176147
48,48,0.007805387504398823,0.9194570183753967,0.006777685252018273,0.9253102540969849
49,49,0.007618434611707926,0.9213005900382996,0.0073068027559202164,0.9190810322761536
50,50,0.007266543794423342,0.9249618053436279,0.0064688643760746345,0.9280728101730347
51,51,0.007555825643241406,0.9219363927841187,0.007662908232305199,0.9153441786766052
52,52,0.007472640950232744,0.92287677526474,0.007069994273479097,0.9217894077301025
53,53,0.00741450484842062,0.923486590385437,0.007184791204053909,0.920535147190094
54,54,0.007131553132086992,0.926406979560852,0.006624116271268576,0.9265621900558472
55,55,0.007183610178530217,0.9259606599807739,0.006709142922773026,0.925664484500885
56,56,0.007181910216808319,0.9259566068649292,0.006644079927355051,0.9263579845428467
57,57,0.006990391287952661,0.9278676509857178,0.0064972565160132945,0.9278500080108643
58,58,0.006705022532492876,0.930732011795044,0.006354189099511132,0.929564356803894
59,59,0.006802859537303448,0.9297587275505066,0.006487395381554961,0.9276357889175415
60,60,0.0067561141699552536,0.9301396012306213,0.00657577914535068,0.9279496073722839
61,61,0.006590255813673139,0.9320611953735352,0.006218948736204766,0.9309824109077454
62,62,0.006477660372853279,0.9331627488136292,0.0066644207399804145,0.9263180494308472
63,63,0.006447889488190413,0.9333370923995972,0.006515135493827984,0.9279173612594604
64,64,0.0061354412063956264,0.9366035461425781,0.006049998119124211,0.9331093430519104
65,65,0.006295241113752127,0.9350209832191467,0.006058294035028666,0.9330457448959351
66,66,0.006096736503764987,0.9371251463890076,0.006223629578016698,0.9314349293708801
67,67,0.00607324668765068,0.9374120235443115,0.005847937616636045,0.935341477394104
68,68,0.005891621515154839,0.9391926527023315,0.0060408226563595235,0.9332906603813171
