,epoch,train_mse,train_r2,test_mse,test_r2
0,0,0.036010703004896644,0.631216287612915,0.015005681343609467,0.8330830335617065
1,1,0.013267437137663365,0.8629882335662842,0.01533284765901044,0.8299463987350464
2,2,0.012112054336816072,0.8749794960021973,0.010275806242134422,0.8856128454208374
3,3,0.012039593867957592,0.8757073879241943,0.012243261415278539,0.8636593222618103
4,4,0.011634839735925197,0.8797927498817444,0.009236382160452195,0.8970344066619873
5,5,0.011111222974956035,0.8850978016853333,0.008990330941742286,0.8998774290084839
6,6,0.010394466642290354,0.8927143216133118,0.008744982231291942,0.9026451706886292
7,7,0.009868712119758129,0.8981902599334717,0.009111105580814183,0.8987529873847961
8,8,0.00998651495948434,0.8968930244445801,0.008698739824467339,0.9031830430030823
9,9,0.009426538564264774,0.9029778242111206,0.008349795345566235,0.9070533514022827
10,10,0.009389187276363373,0.9029991626739502,0.008451994421193376,0.9058473706245422
11,11,0.009383412133902312,0.9029585123062134,0.008486252918373793,0.9050538539886475
12,12,0.009027490753680468,0.9067414999008179,0.007768656476400793,0.9134155511856079
13,13,0.009037118982523679,0.9065078496932983,0.007960098664625548,0.9116529226303101
14,14,0.008837036188691855,0.9088035225868225,0.008222800606745295,0.9085221290588379
15,15,0.008768167562782765,0.9094627499580383,0.007784156157867983,0.9134131073951721
16,16,0.008670795951038599,0.9103526473045349,0.007647266174899414,0.9152469038963318
17,17,0.008414212562143803,0.9130219221115112,0.007316003320738673,0.9187595248222351
18,18,0.008298716858029366,0.9141899347305298,0.008392520132474601,0.9066569209098816
19,19,0.008282114155590534,0.9144833087921143,0.0071687784511595964,0.9207269549369812
20,20,0.008277716491371392,0.9145945906639099,0.007621918222866952,0.9155638813972473
21,21,0.007998653672635555,0.9175758361816406,0.007222697080578655,0.9199901223182678
22,22,0.007870490130037069,0.9186180233955383,0.0067904210882261395,0.9246572256088257
23,23,0.007438467230647803,0.9233217239379883,0.006737928473739885,0.9253126382827759
24,24,0.007394831165671348,0.9235686659812927,0.006535518215969205,0.9270306825637817
25,25,0.0068790846578776835,0.9289708137512207,0.006390623049810529,0.9289001226425171
26,26,0.006631168331950903,0.9315390586853027,0.005918517475947738,0.9347909092903137
27,27,0.0064396651796996595,0.9335705637931824,0.005876204260857776,0.9349517226219177
28,28,0.006206909215077758,0.9359241724014282,0.005727430718252435,0.9367383718490601
29,29,0.006020370291545987,0.9379019737243652,0.005654896100168116,0.9374847412109375
30,30,0.005963376307860016,0.938413143157959,0.0052725050918525085,0.9415768980979919
31,31,0.005652504820376635,0.9416099786758423,0.005182106324355118,0.9423431158065796
32,32,0.005453205570578575,0.9437549114227295,0.005873345391592011,0.9347994327545166
33,33,0.005551098527386784,0.9427511096000671,0.005047339254815597,0.9443551898002625
34,34,0.005236110270023346,0.9459453225135803,0.004764899567817338,0.9473721385002136
35,35,0.005087828639894724,0.9475138187408447,0.004996389543521218,0.9446337819099426
36,36,0.004994607815518975,0.9484837651252747,0.004579391716106329,0.9491780996322632
37,37,0.004872418873012066,0.9498185515403748,0.004621852618583944,0.9489673376083374
38,38,0.004715936934575438,0.9513599872589111,0.004528105542703997,0.9501250982284546
39,39,0.004552076509222389,0.9530434012413025,0.005459541527670808,0.9399365186691284
40,40,0.004457998408004642,0.9539519548416138,0.005152252080733888,0.9427443146705627
41,41,0.004533501947298646,0.9532027840614319,0.004338402330176905,0.9519988298416138
42,42,0.004078745063394308,0.9579092860221863,0.0038664952808176167,0.9575024247169495
43,43,0.003997390231117606,0.9588395357131958,0.0038698043863405474,0.9572234153747559
44,44,0.003946598248556256,0.9593288898468018,0.003961446265748236,0.9560645222663879
45,45,0.003909169720485806,0.9597830772399902,0.004200947943900246,0.9535155296325684
46,46,0.0037901963610202072,0.9608861207962036,0.003513370786095038,0.9612534046173096
47,47,0.0036190730426460503,0.962766170501709,0.004052343865623698,0.9547399282455444
48,48,0.0036466274727135896,0.9624337553977966,0.00364021541463444,0.9594005346298218
49,49,0.003406927037984133,0.9648718237876892,0.0034982998622581363,0.9609463810920715
50,50,0.003485983168706298,0.9640647768974304,0.0031650264718336985,0.9647797346115112
51,51,0.0034794768933206796,0.964138388633728,0.003655963773780968,0.9596368670463562
52,52,0.0030779278427362443,0.9683109521865845,0.0033389331656508148,0.9631219506263733
53,53,0.0030406222995370625,0.96871018409729,0.0031530372361885384,0.9649481177330017
54,54,0.002930392369627953,0.9698533415794373,0.003051362313271966,0.9661312103271484
55,55,0.002877602692693472,0.9704458117485046,0.0030632447233074345,0.9660650491714478
56,56,0.0029631204456090927,0.9695412516593933,0.0030684087687404826,0.965843141078949
57,57,0.0027394056972116234,0.9718353152275085,0.0030891889764461666,0.965775191783905
58,58,0.0025216849744319914,0.974052906036377,0.0027311880330671556,0.9698023796081543
59,59,0.0025108835669234394,0.9741842150688171,0.0030940810829633847,0.9656424522399902
60,60,0.002502001612447202,0.9742336869239807,0.0027992469404125586,0.969045877456665
61,61,0.0024879657104611395,0.9744504690170288,0.00257308729851502,0.9714887738227844
62,62,0.0023029202567413447,0.9763444662094116,0.0026868374952755403,0.9699231386184692
63,63,0.0023523328192532065,0.9757802486419678,0.0029697927602683194,0.9670391082763672
64,64,0.0022125055314972998,0.977247416973114,0.002629222010000376,0.9708442687988281
65,65,0.0021753890411928298,0.9776681065559387,0.002451157630275702,0.972898006439209
66,66,0.0021183902844786645,0.9782693386077881,0.0023250023477885406,0.9743406772613525
67,67,0.002005907102487981,0.9794501662254333,0.0023909920928417705,0.9732621908187866
68,68,0.0019673585752025247,0.9798101186752319,0.002312625558261061,0.9743929505348206
69,69,0.0019056547489017248,0.9804589748382568,0.0022776046716899145,0.9749103784561157
70,70,0.0018250877195969224,0.9813075661659241,0.0022221500585146714,0.9751248359680176
71,71,0.0017905068816617131,0.9816455841064453,0.0024613940258859657,0.9727811217308044
