,epoch,train_mse,train_r2,test_mse,test_r2,grad_norm
0,0,0.0357390394700425,0.6341406106948853,0.021484583616256714,0.7676984071731567,0.0
1,1,0.01993008396987404,0.7987731695175171,0.016234868438914418,0.8242881894111633,0.0
2,2,0.013399686856520555,0.8620501756668091,0.011806872847955674,0.8697988390922546,0.0
3,3,0.01326466090090218,0.8628235459327698,0.0109512748895213,0.8791227340698242,0.0
4,4,0.012302499116649704,0.87297123670578,0.012389711569994688,0.8632153272628784,0.0
5,5,0.012180887887047397,0.8742350935935974,0.010481012985110283,0.8843794465065002,0.0
6,6,0.011523653183960252,0.8809096813201904,0.010415460157673806,0.8850232362747192,0.0
7,7,0.012002869080456476,0.876169741153717,0.009904504375299439,0.89095139503479,0.0
8,8,0.012005293283552404,0.876103401184082,0.012717263656668365,0.8595035076141357,0.0
9,9,0.011433264543671929,0.8819583654403687,0.00925496534910053,0.8983092308044434,0.0
10,10,0.011181556131868135,0.8844567537307739,0.01621694618370384,0.8207558393478394,0.0
11,11,0.011183858494318667,0.8844894170761108,0.009792877855943516,0.8917160034179688,0.0
12,12,0.010989099903593934,0.8861469030380249,0.011323495185934007,0.8745359182357788,0.0
13,13,0.010629817392558806,0.8900209069252014,0.009365374222397804,0.8967694044113159,0.0
14,14,0.01116067370665925,0.8842471241950989,0.010984222695697099,0.8789544701576233,0.0
15,15,0.010776552792993329,0.8885312676429749,0.010892087128013372,0.8793202042579651,0.0
16,16,0.010119443862802453,0.8957229256629944,0.008752666471991688,0.9036172032356262,0.0
17,17,0.010317433034143751,0.8933942914009094,0.008792862558038905,0.9032121896743774,0.0
18,18,0.00990246639158281,0.8979227542877197,0.009102506504859775,0.8997024893760681,0.0
19,19,0.009875993118695324,0.8979501724243164,0.009098177775740623,0.8994920253753662,0.0
20,20,0.009704676486315235,0.899734616279602,0.009604841296095401,0.8940567970275879,0.0
21,21,0.00974977406717482,0.8993673920631409,0.008497294911649078,0.9062336087226868,0.0
22,22,0.009767537677867545,0.8990176320075989,0.008599123306339607,0.9050462245941162,0.0
23,23,0.009880054823403794,0.8981024026870728,0.009116002125665545,0.899466335773468,0.0
24,24,0.009622910289123418,0.9005754590034485,0.009048091975273564,0.9005201458930969,0.0
25,25,0.009762003840435119,0.899568498134613,0.008241555653512478,0.9092106223106384,0.0
26,26,0.009363262108453209,0.9030657410621643,0.008707146480446681,0.9042418003082275,0.0
27,27,0.009324864757853367,0.9036833643913269,0.008833787869662046,0.9025669097900391,0.0
28,28,0.009361892443386808,0.9032477140426636,0.008791276370175183,0.9025440216064453,0.0
29,29,0.00915846253730475,0.9055114388465881,0.00849162886152044,0.9058486223220825,0.0
30,30,0.009797347339964102,0.8990005254745483,0.008631800941657275,0.9045082926750183,0.0
31,31,0.009269796792299502,0.9043883681297302,0.008448366803349927,0.9070377349853516,0.0
32,32,0.009142145056218381,0.9057191610336304,0.00838263551122509,0.9076091051101685,0.0
33,33,0.009630753045221643,0.9009151458740234,0.008720215002540499,0.9036774039268494,0.0
34,34,0.009377310488609568,0.9032611846923828,0.008127426350256428,0.9105356335639954,0.0
35,35,0.009151406438341217,0.905517041683197,0.009427343786228448,0.8960519433021545,0.0
36,36,0.008825910691585805,0.9087826013565063,0.007974962092703208,0.9123575687408447,0.0
37,37,0.00866561745189958,0.9107124209403992,0.009101044619455934,0.8994120359420776,0.0
38,38,0.008752645702943915,0.9100092053413391,0.00829432305181399,0.9083849191665649,0.0
39,39,0.008423719163392745,0.913051962852478,0.007478237937903032,0.9172202944755554,0.0
40,40,0.008484915881935094,0.9123146533966064,0.007819367601769045,0.9136636853218079,0.0
41,41,0.008206704513184608,0.9153773784637451,0.007739254739135504,0.9140273928642273,0.0
42,42,0.008073346068461737,0.916702389717102,0.0073798089870251715,0.9184330701828003,0.0
43,43,0.007887154802798278,0.9182817935943604,0.007084317883709446,0.921944260597229,0.0
44,44,0.007418110693198821,0.9232875108718872,0.006124502484453842,0.9322302341461182,0.0
45,45,0.007253817955238951,0.9250462055206299,0.006943112384760752,0.9230884909629822,0.0
46,46,0.00730167268701489,0.9246272444725037,0.006625566078582779,0.9269332885742188,0.0
47,47,0.006846113204364739,0.9293486475944519,0.006027089344570413,0.9336159825325012,0.0
48,48,0.006545753935204139,0.932437539100647,0.007628077233675867,0.9157134890556335,0.0
49,49,0.006505806760359851,0.9328980445861816,0.005804664659081027,0.9358652830123901,0.0
50,50,0.006323913223154488,0.9346160888671875,0.006103345745941624,0.9327476620674133,0.0
51,51,0.0063789050567836045,0.934107780456543,0.00667041604174301,0.9263338446617126,0.0
52,52,0.0059325324947990124,0.9385349750518799,0.006036211387254298,0.9332682490348816,0.0
53,53,0.00649551935641775,0.932792603969574,0.007117306173313409,0.9215060472488403,0.0
54,54,0.006170928648244294,0.936493992805481,0.005197220772970468,0.94268798828125,0.0
55,55,0.005664874141710618,0.9417373538017273,0.0055898196587804705,0.9380547404289246,0.0
56,56,0.005650149233314017,0.9418631792068481,0.006052662094589323,0.9329715967178345,0.0
57,57,0.005479106317377753,0.9434980154037476,0.005644628836307675,0.9376033544540405,0.0
58,58,0.005302792400239952,0.9453698396682739,0.0052864610916003585,0.9414772391319275,0.0
59,59,0.005291536221251128,0.9454089403152466,0.00510896134073846,0.9433309435844421,0.0
60,60,0.004960716265948519,0.9488525986671448,0.005785783607279882,0.9361053705215454,0.0
61,61,0.0051493664301695335,0.9468457102775574,0.004641934501705691,0.9489613771438599,0.0
62,62,0.004960104187447873,0.9487130045890808,0.004523764771874994,0.9499032497406006,0.0
63,63,0.004766633796934334,0.9508814811706543,0.004393396186060272,0.9513182044029236,0.0
64,64,0.004605946803672446,0.9525099992752075,0.004379941048682667,0.9516438245773315,0.0
65,65,0.004548309038260153,0.9531347155570984,0.004917188081890345,0.9457675814628601,0.0
66,66,0.004645654177736668,0.9520225524902344,0.004256350963260047,0.9532961845397949,0.0
67,67,0.004477655193546698,0.9538417458534241,0.004027101138490252,0.9553925395011902,0.0
68,68,0.0044541523518366,0.9540695548057556,0.005259875324554741,0.9417396187782288,0.0
69,69,0.004393615541861407,0.9546008706092834,0.0038988530432106927,0.9569780826568604,0.0
70,70,0.004280375778704645,0.9558658599853516,0.0054719390464015305,0.9394626617431641,0.0
71,71,0.00407118779341025,0.9579422473907471,0.004011112410807982,0.9556878209114075,0.0
72,72,0.004176582764124586,0.9568697214126587,0.0043463667534524575,0.951942503452301,0.0
73,73,0.004107217718329694,0.9576587677001953,0.003937439061701298,0.9563228487968445,0.0
74,74,0.0038693843904646142,0.960080087184906,0.0040084679203573614,0.9558113813400269,0.0
75,75,0.0038332924032436003,0.9605083465576172,0.0038370685797417536,0.9576758146286011,0.0
76,76,0.003782825736654183,0.9609872102737427,0.003719940592418425,0.9588561058044434,0.0
77,77,0.0035233349531948095,0.9637889862060547,0.0036424657882889733,0.9593842625617981,0.0
78,78,0.0036404834291528143,0.9625324606895447,0.005132850288646296,0.9427709579467773,0.0
79,79,0.0036231796368069594,0.9626179337501526,0.003865222039166838,0.9575416445732117,0.0
80,80,0.0035480360633560588,0.963373064994812,0.003957409833674319,0.9561113119125366,0.0
81,81,0.003515948134932726,0.9637998938560486,0.0035718800936592743,0.96033775806427,0.0
82,82,0.0036559531775613627,0.9624744057655334,0.0038908174028620124,0.9569272994995117,0.0
83,83,0.003484704890214498,0.9641009569168091,0.003983638744102791,0.9559908509254456,0.0
84,84,0.0033119527164787526,0.9658231735229492,0.0032829363190103322,0.9636510014533997,0.0
85,85,0.003225020994062698,0.9667750000953674,0.003620391056756489,0.9600878357887268,0.0
86,86,0.003388303235941936,0.9649657011032104,0.0034242627152707428,0.9621275067329407,0.0
87,87,0.0031772303128881113,0.9671826362609863,0.0033965993352467194,0.9625541567802429,0.0
88,88,0.0030772759586513514,0.9683346152305603,0.0034248277952428907,0.9619475603103638,0.0
89,89,0.003070939720297853,0.9683441519737244,0.003120549998129718,0.9652652144432068,0.0
90,90,0.0028830765569139096,0.9703212976455688,0.003331198269734159,0.963280200958252,0.0
91,91,0.003004674589084018,0.9690523147583008,0.0031122155487537384,0.9656968712806702,0.0
92,92,0.0029840219122845503,0.9692931175231934,0.003194007629645057,0.9647527933120728,0.0
93,93,0.0028776886969036053,0.9704344272613525,0.0029720373859163374,0.9671304225921631,0.0
94,94,0.002959702049367248,0.969559371471405,0.0030455496889771894,0.9663061499595642,0.0
95,95,0.0028017760284008487,0.9711571931838989,0.0033059199195122346,0.9635988473892212,0.0
96,96,0.002813386224535486,0.9710808992385864,0.0029331256373552606,0.9676759243011475,0.0
97,97,0.0027142594649737315,0.972123920917511,0.002943703904747963,0.9673870801925659,0.0
98,98,0.0027166092953097728,0.9721217155456543,0.003152954959659837,0.9652745723724365,0.0
99,99,0.00263680526358445,0.972808837890625,0.0033142680185846984,0.9636027812957764,0.0
100,100,0.002703603235117736,0.9721155166625977,0.0034506424563005567,0.9623212218284607,0.0
101,101,0.0025181854476353954,0.9741605520248413,0.002783954594633542,0.9692651629447937,0.0
102,102,0.0024349720934258093,0.9748871922492981,0.002956011550850235,0.9672423601150513,0.0
103,103,0.002461531620827459,0.9747218489646912,0.0029525597346946597,0.9674476385116577,0.0
104,104,0.002493474815439965,0.9743831753730774,0.0026572359493002295,0.9706045985221863,0.0
105,105,0.002529918286387646,0.974000871181488,0.003075580229051411,0.9660907983779907,0.0
106,106,0.0026696520739249766,0.9725537300109863,0.0026973385392921045,0.970400333404541,0.0
107,107,0.0023469931283403955,0.9758610725402832,0.003105096271610819,0.9656730890274048,0.0
108,108,0.0023169961004030136,0.9761015772819519,0.0029496054630726576,0.967471718788147,0.0
109,109,0.0024365223962665786,0.9749208092689514,0.00290890627366025,0.9678794741630554,0.0
110,110,0.0022917286722019077,0.9764491319656372,0.002902518506743945,0.9678964018821716,0.0
111,111,0.0022345134463634285,0.9769915342330933,0.002617870908579789,0.971159040927887,0.0
112,112,0.0020582438982461415,0.9788634181022644,0.002413589056232013,0.9734204411506653,0.0
113,113,0.0021846836935433133,0.9774832725524902,0.00333460551337339,0.9632055163383484,0.0
114,114,0.002186129449881495,0.9774968028068542,0.0024315301125170663,0.9732308387756348,0.0
115,115,0.0019636822140051257,0.9798333048820496,0.0025877537991618738,0.9713050723075867,0.0
116,116,0.002066121567853741,0.9787417650222778,0.0024052810840657912,0.9735874533653259,0.0
117,117,0.0019167851867331635,0.9803279042243958,0.0024761619133641943,0.9726500511169434,0.0
118,118,0.0020519929627577462,0.9789584875106812,0.002419521755655296,0.9731754064559937,0.0
