,epoch,train_mse,train_r2,test_mse,test_r2,grad_norm
0,0,0.1362271074950695,-0.45004403591156006,0.052024832261460166,0.4815918803215027,inf
1,1,0.048065904974937436,0.49186933040618896,0.05029057711362839,0.5083454847335815,7.280450820922852
2,2,0.05081834845244884,0.46008801460266113,0.027040977297084674,0.7334067821502686,7.267006607055664
3,3,0.034511856883764264,0.6328986287117004,0.020142811749662672,0.8082265853881836,5.332313957214356
4,4,0.026746574714779855,0.7157518863677979,0.030585781538060734,0.7027121782302856,4.259716501235962
5,5,0.020615636967122555,0.7806535959243774,0.022307398595980236,0.7826887369155884,3.330872719287872
6,6,0.04247396800667048,0.5492920875549316,0.01577370667031833,0.8468993306159973,5.264377236366272
7,7,0.038400134891271594,0.5897438526153564,0.016851193537669524,0.8371063470840454,4.8225703525543215
8,8,0.02241260588169098,0.7610341310501099,0.025647769815155437,0.7538230419158936,2.8181135702133178
9,9,0.017485405765473843,0.8136495351791382,0.017778712191752026,0.8291658163070679,2.542449116706848
10,10,0.020467400439083575,0.7824596762657166,0.0513162836432457,0.49025237560272217,2.8575622177124025
11,11,0.027818106077611447,0.7037979364395142,0.024950905836054256,0.7585321664810181,3.6414639139175415
12,12,0.0176120613142848,0.8130183815956116,0.01503516108329807,0.8540960550308228,2.275183820724487
13,13,0.014001742787659168,0.8504795432090759,0.012831435139690126,0.874981164932251,1.8741377329826354
14,14,0.01649143800139427,0.8241704702377319,0.01436601233269487,0.864822506904602,2.4357653713226317
15,15,0.02432132065296173,0.740459144115448,0.03000732165362154,0.7127178907394409,inf
16,16,0.015849985871464013,0.8307822346687317,0.010440619130219733,0.897664487361908,2.2088890218734742
17,17,0.01181396521627903,0.8736672401428223,0.012074501386710576,0.8815438151359558,1.7051438319683074
18,18,0.010303867366164923,0.8900598883628845,0.00988358591816255,0.901398777961731,1.3380471849441529
19,19,0.010866140704602003,0.884371280670166,0.012588432324784142,0.8733439445495605,1.7389066410064697
20,20,0.010176486037671566,0.8915711641311646,0.008958618954888411,0.9144532084465027,1.617700035572052
21,21,0.008849451690912247,0.9055390357971191,0.01264284351574523,0.8778137564659119,1.4620293259620667
22,22,0.008740180172026157,0.9068673849105835,0.00803646698061909,0.9240290522575378,1.347466652393341
23,23,0.010291059967130423,0.8901565074920654,0.009529919363558292,0.9067542552947998,1.726915249824524
24,24,0.006936619188636541,0.9262746572494507,0.008582113709832941,0.9181814193725586,1.2260608553886414
25,25,0.006603197492659092,0.9298179149627686,0.004361085360869765,0.9572387933731079,1.173264923095703
26,26,0.007941875131800771,0.9156050086021423,0.007878677121230535,0.9246959686279297,1.448585833311081
27,27,0.007891221884638071,0.9159229397773743,0.024783619812556675,0.7533608675003052,1.440556824207306
28,28,0.008135008160024881,0.9130908250808716,0.006138517055660486,0.9394361972808838,1.3387629318237304
29,29,0.007068249536678195,0.9244424104690552,0.00482713318030749,0.9523317813873291,1.2797974526882172
30,30,0.005297761606052518,0.9438018202781677,0.005771375128201076,0.9438089728355408,0.9278515553474427
31,31,0.0059357090108096595,0.9369000792503357,0.005003406200557947,0.9506618976593018,1.1957401299476624
32,32,0.004398844111710787,0.9531378149986267,0.003961991485474365,0.9613434672355652,0.586043952703476
33,33,0.005505158454179764,0.9415176510810852,0.004928246473095247,0.9545596837997437,1.0162530171871185
34,34,0.005004730196669698,0.9464697241783142,0.005056900770536491,0.9506587386131287,0.7872272089123726
35,35,0.00599655750207603,0.9359532594680786,0.008379965488399779,0.9194709062576294,0.9376583534479142
36,36,0.005309344874694944,0.943574070930481,0.004643079758222614,0.956436276435852,0.8478630161285401
37,37,0.004740182282403111,0.949674129486084,0.007943953786577498,0.9192456007003784,0.9062028753757477
38,38,0.005523138083517552,0.9413605332374573,0.0043561918927090505,0.9581652879714966,1.1581403076648713
39,39,0.004777092058211565,0.9491907954216003,0.0043302423187664574,0.9579917192459106,0.9134776866436005
40,40,0.003721742145717144,0.9603781700134277,0.00503463890137417,0.9513440728187561,0.744443291425705
41,41,0.004778399430215359,0.9495189189910889,0.003928510206086295,0.9618863463401794,1.0117876517772675
42,42,0.003378094406798482,0.9640709161758423,0.004263201495632529,0.9591606259346008,0.46387629210948944
43,43,0.0032869726326316597,0.9652692079544067,0.004411155224910804,0.9577382802963257,0.5887146544456482
44,44,0.0034123308304697276,0.9637892842292786,0.003449823407988463,0.9675042033195496,0.6398827511072159
45,45,0.0026701237680390477,0.9718666672706604,0.0038211220276675056,0.9627172350883484,0.43993801712989805
46,46,0.004511900888755918,0.9520292282104492,0.003781485670645322,0.962558925151825,0.9447115254402161
47,47,0.003425138359889388,0.9635574221611023,0.005129134814654078,0.9494572877883911,0.7528530097007752
48,48,0.0029500599391758444,0.9686889052391052,0.0032532802849475828,0.9685699939727783,0.5789035964012146
49,49,0.0023485080478712916,0.9750422835350037,0.0035877597983926535,0.964566707611084,0.39951014682650565
50,50,0.0024836088670417665,0.973729133605957,0.0028610757019902977,0.9723477959632874,0.4746866178512573
51,51,0.0023691148310899736,0.9749552011489868,0.0031857353502086233,0.968528687953949,0.43526763796806334
52,52,0.0024810175225138662,0.9737212657928467,0.0030044656512992723,0.9705460667610168,0.6022121906280518
53,53,0.0022304532025009395,0.976318895816803,0.0028057072444685866,0.9736809134483337,0.49636229634284973
54,54,0.001983021479099989,0.9790309071540833,0.0028693371319345067,0.9714972972869873,0.34908430099487303
55,55,0.002775217420421541,0.9704927206039429,0.0032722962288452046,0.9669633507728577,0.7204931741952896
